,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2464,2559,Amazon AWS,usa, VA 20169, Haymarket,15395 John Marshall Hwy,236082,,50,41.838558,-71.425049
2465,2560,China Telecom,china, Jiangxi, Yichun, Yifeng County,,,,28.0,116.0
2466,2561,US Signal,usa, WI, Madison,222 West Washington Avenue,,,,44.4308975,-89.6884637
2467,2562,Equinix,usa, CA, Santa Clara,3030 Corvin Drive,95000,40205,9,36.7014631,-118.755997
2468,2563,Equinix,japan, Tokyo, Bunkyo City,Suido,173214,67935,18000,35.6821936,139.762221
2469,2564,Digital Realty,usa, CA, Santa Clara,2220 De La Cruz Boulevard,360000,176200,60,36.7014631,-118.755997
2470,2565,Lumen,usa, MO, Kansas City,1212 East 19th Street,50000,13000,,33.512691,131.304743
2471,2566,Singtel,hong kong, Sha Tin,11 On Lai Street,,,,,22.3815527,114.1904697
2472,2567,China Telecom,hong kong, Tseung Kwan O Industrial Estate, 2 Chun Yat St,Telehouse Hong Kong CCC,,,,22.284649,114.271717
2473,2568,Liquid Web,usa, MI, Lansing,4210 Creyts Road,32000,,13.5,43.6211955,-84.6824346
2474,2569,DataBank,usa, CO, Englewood,393 Inverness Parkway,53200,19390,2,38.7251776,-105.607716
2475,2570,Acehost Data Centers,usa, NC, Durham,4518 South Miami Boulevard,14000,,1.25,35.6729639,-79.0392919
2476,2571,American Tower,usa, GA, Atlanta,2374 Fairburn Road Southwest,360,272,0.096,32.3293809,-83.1137366
2477,2572,"Cato Digital, Inc",usa,CA, Irvine,17836 Gillette Ave,,,,36.7014631,-118.755997
2478,2573,QuadraNet,usa, CA, Los Angeles,530 W 6th St,300000,80000,,36.7014631,-118.755997
2479,2574,1547 Critical Systems Realty,usa, Wyoming, Cheyenne,340 Progress Circle,42000,42000,5,43.1700264,-107.568534
2480,2575,Flexential,usa, OR, Hillsboro,5419 NE Starr Blvd,358000,358000,36,43.9792797,-120.737257
2481,2576,Flexential,usa, OH 45011, West Chester Township, Hamilton,43551,16000,,21.3581212,-157.7377441
2482,2577,DC Mining,usa, IL, Alsip,12300 South Keeler Avenue,,,0.5,40.0796606,-89.4337288
2483,2578,DC Mining,usa, IA,Davenport,,12600,,6,41.9216734,-93.3122705
2484,2579,Digital Realty,usa, NJ, Clifton,100 Delawanna Avenue,183000,179000,11,40.0757384,-74.4041622
2485,2580,Nxtra by Airtel,india, Tamil Nadu,Siruseri,,270000,,24,10.9094334,78.3665347
2486,2581,Telehouse,uk, London E14 2AA,Coriander Avenue,,,58125,,51.5156177,-0.0919983
2487,2582,CyrusOne,usa, CT, Stamford,10 Riverbend Drive South,57000,20000,4,41.6500201,-72.7342163
2488,2583,Lunavi,usa, GA, Atlanta,180 Peachtree Street Northeast,,2500,5,32.3293809,-83.1137366
2489,2584,Equinix,colombia,110921, Cundinamarca, Bogotá,32300,,,4.6786025,-74.16722154
2490,2585,Lumen,usa, OH, Cincinnati,400 Pike Street,36697,7059,,40.2253569,-82.6881395
2491,2586,T5 Data Centers,usa, GA, Lithia Springs,1546 Trae Lane,,,19.8,32.3293809,-83.1137366
2492,2587,antage Data Centers,usa, CA, Santa Clara,737 Mathew Street,541000,,69,36.7014631,-118.755997
2493,2588,QTS Data Centers,usa, CA, Sacramento,1100 North Market Boulevard,92000,46000,4,36.7014631,-118.755997
2494,2589,Liberty Center One,usa, OH, Cincinnati,1080 Nimitzview Dr #400,,,,40.2253569,-82.6881395
2495,2590,Flexential,usa, OR, Hillsboro,4975 NE Starr Blvd,358000,,36,43.9792797,-120.737257
2496,2591,China Telecom,china, Zhejiang, Lishui, Liandu,,,,29.0000001,119.9999999
2497,2592,NorthC,netherlands, 1329 BG Almere,Rondebeltweg 62,,279862,73948,11,52.36512587,5.2682785
2498,2593,Zenlayer,china, Jiangsu, Wuxi, Liangxi District,,,,33.0000001,119.9999999
2499,2594,China Telecom,china, Shanghai Shi, Xuhui Qu, Wan Ti Guan,,,,31.2323437,121.4691024
2500,2595,Rackspace,germany, 60528 Frankfurt am Main,Lyoner Straße 28,,3046.19,,2.4,50.08361544,8.643779497
2501,2596,Digital Realty,usa,FL, Miami,36 Northeast 2nd Street,162000,134000,2,27.7567667,-81.4639835
2502,2597,Cirion Technologies,colombia, Bogota, Bogotá,Cra. 68 #169a-27,14990,7216,7,4.6533816,-74.0836333
2503,2598,T5 Data Centers,usa, IL, Elk Grove Village,200 Innovation Drive,165000,110000,20,40.0796606,-89.4337288
2504,2599,Equinix,japan, Tokyo, Shinagawa City,Higashi-Shinagawa,95993,23218,6000,35.6821936,139.762221
2505,2600,Digital Realty,spain, Madrid,73,Calle de Albasanz,45208,,2.4,40.4167047,-3.7035825
2506,2601,Equinix,usa, IL, Chicago,350 East Cermak Road,26560,23614,8.2,40.0796606,-89.4337288
2507,2602,Singtel,singapore,5 Tampines Central 1,,,,,,1.3531702,103.9427981
2508,2603,Equinix,usa, CA, El Segundo,1920 East Maple Avenue,106885,78323,5.6,36.7014631,-118.755997
2509,2604,Expedient,usa, OH, Dublin,5700 Innovation Drive,29208,10500,4.8,40.2253569,-82.6881395
2510,2605,Telia Company,finland, Helsinki,Valimotie 5,,366000,161500,27000,60.1674881,24.9427473
2511,2606,Equinix,france, Aubervilliers,10 Rue Waldeck Rochet,,123785,49298,5.12,48.9146078,2.3821895
2512,2607,Digital Realty,australia, Deer Park VIC,72 Radnor Drive,,94000,,10,-37.7686602,144.7713077
2513,2608,China Telecom,singapore,Tai Seng Ave,,,,,,1.337285,103.8915793
2514,2609,Digital Realty,usa, TX, Richardson,850 East Collins Boulevard,121366,121000,15,31.2638905,-98.5456116
2515,2610,Equinix,usa, VA, Manassas,7400 Infantry Ridge Road,109781,42536,,37.1232245,-78.4927721
2516,2611,QTS Data Centers,usa,Georgia, Suwanee,300 Satellite Boulevard,385000,205000,26,32.3293809,-83.1137366
2517,2612,DataBank,usa, VA, Ashburn,21635 Red Rum Drive,142000,85330,9.9,37.1232245,-78.4927721
2518,2613,Iron Mountain Data Centers,spain, Madrid, 28830 San Fernando de Henares,4,43055,,3,40.4167047,-3.7035825
2519,2614,Equinix,usa, IL, Chicago,350 East Cermak Road,143630,58852,8.2,40.0796606,-89.4337288
2520,2615,Centersquare,usa, MA, Watertown,486 Arsenal Way,201590,62257,15,18.3414575,-64.9335173
2521,2616,CoreSite,usa, NJ, Secaucus,2 Emerson Lane,236000,,,40.0757384,-74.4041622
2522,2617,Digital Realty,netherlands, Amsterdam,H.J.E. Wenckebachweg 127,,86111,43056,10,52.3730796,4.8924534
2523,2618,Equinix,japan, Tokyo, Shinagawa City,Higashi-Shinagawa,74024,39751,2500,35.6821936,139.762221
2524,2619,Equinix,usa, WA, Kent,6906 S 204th St,108336,75000,12,47.2868352,-120.212613
2525,2620,Equinix,australia, West Melbourne VIC 3003,22-36 Walsh Street,,44887,25922,,-37.808747,144.9238207
2526,2621,NTT Global Data Centers,usa, VA, Ashburn,44664 Guilford Drive,150000,7000,28.4,37.1232245,-78.4927721
2527,2622,QTS Data Centers,usa, TX, Fort Worth,14100 Park Vista Boulevard,300000,40000,50,31.2638905,-98.5456116
2528,2623,Digital Realty,south korea, Seoul 03922, Mapo-gu,12 World Cup buk-ro 60-gil,132000,,20,37.5666791,126.9782914
2529,2624,Digital Realty,singapore,3 Loyang Way,,,183000,,15.6,1.3707677,103.9684711
2530,2625,QTS Data Centers,usa, Virginia 20166, Sterling,44675 Quality Tech Lane,,,,33.711823,-117.7924143
2531,2626,Equinix,spain, Madrid,28050, 6-8,37480,18686,,40.4167047,-3.7035825
2532,2627,Hivelocity,usa, FL, Miami,36 Northeast 2nd Street,24000,,,27.7567667,-81.4639835
2533,2628,Digital Fortress,usa, WA, Lynnwood,4200 194th St SW,34600,13050,6,47.2868352,-120.212613
2534,2629,Centersquare,usa, CA, Irvine,17836 Gillette Avenue,132000,51103,12,36.7014631,-118.755997
2535,2630,Telstra,uk, London,5 Greenwich View Place,,114000,114000,,51.5074456,-0.1277653
2536,2631,Equinix,brazil,Rio de Janeiro, 1380 - Del Castilho,Estrada Adhemar Bebiano,168888,41016,9,-22.9110137,-43.2093727
2537,2632,Digital Realty,hong kong, Tseung Kwan O Industrial Estate, 33 Chun Choi Street,Digital Realty - CenturyLink Hong Kong Data Centre,200000,,18,22.284649,114.271717
2538,2633,Centersquare,usa, CA, Santa Clara,4650 Old Ironsides Drive,214552,159238,10,36.7014631,-118.755997
2539,2634,Aligned Data Centers,usa, IL, Northlake,501 Northwest Avenue,228768,,36,40.0796606,-89.4337288
2540,2635,Digital Realty,germany, 60314 Frankfurt am Main,Hanauer Landstraße 296A,,16000,,1.018,50.11376968,8.712718914
2541,2636,Cologix,usa, NJ, Parsippany,200 Webro Road,120000,120000,,40.0757384,-74.4041622
2542,2637,Aligned Data Centers,usa, VA, Ashburn,21890 Uunet Drive,370000,,60,37.1232245,-78.4927721
2543,2638,NTT Global Data Centers,usa, VA, Ashburn,44664 Guilford Drive,245000,,6,37.1232245,-78.4927721
2544,2639,China Telecom,china, Hebei, Langfang,Guangyang,,,,39.0000001,116.0
2545,2640,Zenlayer,germany, 60314 Frankfurt am Main,Hanauer Landstraße 300a-300,,,,,50.11376968,8.712718914
2546,2641,Zenlayer,hong kong, Tsuen Wan,3 Shing Yiu Street,,,,,22.3716605,114.1134699
2547,2642,Digital Realty,usa,IL, Franklin Park,9377 Grand Avenue,179100,,20,40.0796606,-89.4337288
